Station,Line,Status,AdmArea,District,ID,global_id
Третьяковская,Калининская линия,действует,Центральный административный округ,район Замоскворечье,136,58701962
Медведково,Калужско-Рижская линия,действует,Северо-Восточный административный округ,район Северное Медведково,86,58701963
Первомайская,Арбатско-Покровская линия,действует,Восточный административный округ,район Измайлово,41,58701964
Калужская,Калужско-Рижская линия,действует,Юго-Западный административный округ,Обручевский район,104,58701965
Каховская,Большая кольцевая линия,строится,Юго-Западный административный округ,район Зюзино,251,58701966
Бульвар адмирала Ушакова,Бутовская линия Лёгкого метро,действует,Юго-Западный административный округ,район Южное Бутово,184,58701967
Павелецкая,Замоскворецкая линия,действует,Центральный административный округ,район Замоскворечье,28,58701968
Волжская,Люблинско-Дмитровская линия,действует,Юго-Восточный административный округ,район Кузьминки,172,58701969
Шаболовская,Калужско-Рижская линия,действует,Южный административный округ,Донской район,99,58701970
Плющиха,Солнцевская линия,строится,Центральный административный округ,район Арбат,221,58701971
Тимирязевская,Серпуховско-Тимирязевская линия,действует,Северный административный округ,Тимирязевский район,142,58701972
ВДНХ,Калужско-Рижская линия,действует,Северо-Восточный административный округ,Останкинский район,90,58701973
Тверская,Замоскворецкая линия,действует,Центральный административный округ,Тверской район,31,58701974
Фонвизинская,Люблинско-Дмитровская линия,действует,Северо-Восточный административный округ,Бутырский район,208,58701975
Воронцовская,Большая кольцевая линия,строится,Юго-Западный административный округ,Обручевский район,249,58701976
Дмитровская,Серпуховско-Тимирязевская линия,действует,Северо-Восточный административный округ,Бутырский район,143,58701978
Новые Черёмушки,Калужско-Рижская линия,действует,Юго-Западный административный округ,район Черёмушки,103,58701979
Улица Милашенкова,Московская монорельсовая транспортная система,действует,Северо-Восточный административный округ,Бутырский район,191,58701980
Пушкинская,Таганско-Краснопресненская линия,действует,Центральный административный округ,Тверской район,119,58701981
Маяковская,Замоскворецкая линия,действует,Центральный административный округ,Тверской район,32,58701982
Нижегородская,Некрасовская линия,действует,Юго-Восточный административный округ,Нижегородский район,231,58701983
Ботанический сад,Калужско-Рижская линия,действует,Северо-Восточный административный округ,район Свиблово,89,58701984
Нижегородская улица,Большая кольцевая линия,строится,Юго-Восточный административный округ,Нижегородский район,256,58701985
Белорусская,Замоскворецкая линия,действует,Центральный административный округ,Тверской район,33,58701986
Варшавская,Каховская линия,действует,Южный административный округ,район Москворечье-Сабурово,180,58701987
Красногвардейская,Замоскворецкая линия,действует,Южный административный округ,район Зябликово,20,58701988
Комсомольская,Сокольническая линия,действует,Центральный административный округ,Красносельский район,6,58701989
Нагатинская,Серпуховско-Тимирязевская линия,действует,Южный административный округ,Нагорный район,152,58701990
Алтуфьево,Серпуховско-Тимирязевская линия,действует,Северо-Восточный административный округ,район Бибирево,137,58701991
Новопеределкино,Солнцевская линия,действует,Западный административный округ,район Ново-Переделкино,268,58701992
Автозаводская,Замоскворецкая линия,действует,Южный административный округ,Даниловский район,27,58701993
Дорогомиловская,Солнцевская линия,строится,Западный административный округ,район Дорогомилово,220,58701994
Текстильщики,Таганско-Краснопресненская линия,действует,Юго-Восточный административный округ,район Текстильщики,125,58701995
Кожуховская,Люблинско-Дмитровская линия,действует,Юго-Восточный административный округ,Южнопортовый район,170,58701996
Марьино,Люблинско-Дмитровская линия,действует,Юго-Восточный административный округ,район Марьино,175,58701997
Павелецкая,Кольцевая линия,действует,Центральный административный округ,район Замоскворечье,77,58701998
Преображенская площадь,Сокольническая линия,действует,Восточный административный округ,район Преображенское,3,58701999
Новослободская,Кольцевая линия,действует,Центральный административный округ,Тверской район,82,58702000
Фили,Филёвская линия,действует,Западный административный округ,район Филёвский Парк,65,58702001
Кунцевская,Большая кольцевая линия,строится,Западный административный округ,район Кунцево,244,58702002
